FlowID,Protocol,Length,Time_Diff,Timestamp,App
84,,86,0.0,1740663454.968794,firefox
19,UDP,92,0.2380979061126709,1740663455.206892,firefox
54,UDP,178,0.011970043182373047,1740663455.218862,firefox
27,UDP,92,0.0012738704681396484,1740663455.220136,firefox
62,UDP,92,0.004148960113525391,1740663455.224285,firefox
44,TCP,74,0.0011661052703857422,1740663455.225451,firefox
79,TCP,74,0.00347900390625,1740663455.22893,firefox
44,TCP,66,2.9087066650390625e-05,1740663455.228959,firefox
44,TCP,1968,0.0007460117340087891,1740663455.229705,firefox
79,TCP,66,0.0036478042602539062,1740663455.233353,firefox
79,TCP,66,1.1920928955078125e-06,1740663455.233354,firefox
79,TCP,2114,0.005776882171630859,1740663455.239131,firefox
79,TCP,2114,0.0,1740663455.239131,firefox
79,TCP,601,0.0,1740663455.239131,firefox
44,TCP,66,3.314018249511719e-05,1740663455.239164,firefox
44,TCP,66,8.893013000488281e-05,1740663455.239253,firefox
44,TCP,66,2.6941299438476562e-05,1740663455.23928,firefox
18,UDP,87,0.007802009582519531,1740663455.247082,firefox
21,UDP,87,0.0004830360412597656,1740663455.247565,firefox
53,UDP,208,0.0028388500213623047,1740663455.250404,firefox
56,UDP,204,0.00021004676818847656,1740663455.250614,firefox
16,UDP,98,0.00048613548278808594,1740663455.2511,firefox
51,UDP,98,0.0036220550537109375,1740663455.254722,firefox
11,TCP,74,0.0024199485778808594,1740663455.257142,firefox
45,TCP,74,0.018445968627929688,1740663455.275588,firefox
46,TCP,74,0.002846956253051758,1740663455.278435,firefox
80,TCP,74,0.0019919872283935547,1740663455.280427,firefox
45,TCP,66,3.2901763916015625e-05,1740663455.28046,firefox
45,TCP,1968,0.0007572174072265625,1740663455.281217,firefox
81,TCP,74,0.001580953598022461,1740663455.282798,firefox
46,TCP,66,3.695487976074219e-05,1740663455.282835,firefox
46,TCP,1968,0.002176046371459961,1740663455.285011,firefox
37,UDP,95,0.0013740062713623047,1740663455.286385,firefox
14,UDP,95,0.00019502639770507812,1740663455.28658,firefox
28,UDP,95,0.00011396408081054688,1740663455.286694,firefox
26,UDP,87,0.0017468929290771484,1740663455.288441,firefox
31,UDP,87,0.00021910667419433594,1740663455.28866,firefox
35,UDP,87,0.00013899803161621094,1740663455.288799,firefox
80,TCP,66,0.002440929412841797,1740663455.29124,firefox
80,TCP,66,0.0,1740663455.29124,firefox
80,TCP,2114,0.0,1740663455.29124,firefox
80,TCP,2114,0.0,1740663455.29124,firefox
80,TCP,601,0.0,1740663455.29124,firefox
81,TCP,66,0.0,1740663455.29124,firefox
45,TCP,66,6.604194641113281e-05,1740663455.291306,firefox
45,TCP,66,0.00010800361633300781,1740663455.291414,firefox
45,TCP,66,3.1948089599609375e-05,1740663455.291446,firefox
81,TCP,66,3.1948089599609375e-05,1740663455.291478,firefox
72,UDP,111,0.0,1740663455.291478,firefox
49,UDP,123,0.0,1740663455.291478,firefox
63,UDP,155,0.0,1740663455.291478,firefox
81,TCP,2114,0.0014371871948242188,1740663455.292915,firefox
61,UDP,168,9.5367431640625e-07,1740663455.292916,firefox
81,TCP,2114,0.0,1740663455.292916,firefox
81,TCP,601,0.0,1740663455.292916,firefox
46,TCP,66,3.1948089599609375e-05,1740663455.292948,firefox
46,TCP,66,0.0001850128173828125,1740663455.293133,firefox
46,TCP,66,6.794929504394531e-05,1740663455.293201,firefox
66,UDP,192,8.392333984375e-05,1740663455.293285,firefox
70,UDP,208,1.1920928955078125e-06,1740663455.293286,firefox
36,UDP,106,0.0005519390106201172,1740663455.293838,firefox
71,UDP,178,0.00491786003112793,1740663455.298756,firefox
12,TCP,74,0.0067310333251953125,1740663455.305487,firefox
13,TCP,74,0.00021910667419433594,1740663455.305706,firefox
4,TCP,74,0.01557302474975586,1740663455.321279,firefox
11,TCP,66,6.389617919921875e-05,1740663455.321343,firefox
11,TCP,497,0.00022912025451660156,1740663455.321572,firefox
5,TCP,74,0.04192304611206055,1740663455.363495,firefox
12,TCP,66,5.1975250244140625e-05,1740663455.363547,firefox
12,TCP,497,0.0003218650817871094,1740663455.363869,firefox
6,TCP,74,0.004765987396240234,1740663455.368635,firefox
13,TCP,66,4.1961669921875e-05,1740663455.368677,firefox
13,TCP,497,0.0002200603485107422,1740663455.368897,firefox
4,TCP,66,0.016972064971923828,1740663455.385869,firefox
4,TCP,2742,0.032228946685791016,1740663455.418098,firefox
11,TCP,66,3.600120544433594e-05,1740663455.418134,firefox
5,TCP,66,0.0035970211029052734,1740663455.421731,firefox
44,TCP,130,0.0011630058288574219,1740663455.422894,firefox
44,TCP,158,0.0003299713134765625,1740663455.423224,firefox
79,TCP,684,0.0035719871520996094,1740663455.426796,firefox
79,TCP,97,0.0,1740663455.426796,firefox
44,TCP,66,3.409385681152344e-05,1740663455.42683,firefox
44,TCP,66,5.602836608886719e-05,1740663455.426886,firefox
44,TCP,97,0.00023698806762695312,1740663455.427123,firefox
6,TCP,66,0.004389047622680664,1740663455.431512,firefox
79,TCP,66,0.0031418800354003906,1740663455.434654,firefox
5,TCP,2742,0.006541013717651367,1740663455.441195,firefox
12,TCP,66,3.1948089599609375e-05,1740663455.441227,firefox
45,TCP,130,0.0009620189666748047,1740663455.442189,firefox
45,TCP,175,0.0004949569702148438,1740663455.442684,firefox
44,TCP,796,0.00039196014404296875,1740663455.443076,firefox
80,TCP,684,0.003100156784057617,1740663455.446176,firefox
79,TCP,66,0.0,1740663455.446176,firefox
80,TCP,97,0.0,1740663455.446176,firefox
45,TCP,66,3.2901763916015625e-05,1740663455.446209,firefox
45,TCP,66,5.793571472167969e-05,1740663455.446267,firefox
45,TCP,90,0.00030922889709472656,1740663455.446576,firefox
45,TCP,66,7.796287536621094e-05,1740663455.446654,firefox
80,TCP,66,0.003670930862426758,1740663455.450325,firefox
6,TCP,2742,0.0,1740663455.450325,firefox
45,TCP,66,2.193450927734375e-05,1740663455.450347,firefox
13,TCP,66,7.605552673339844e-05,1740663455.450423,firefox
46,TCP,130,0.002032041549682617,1740663455.452455,firefox
46,TCP,175,0.0005960464477539062,1740663455.453051,firefox
81,TCP,684,0.004336833953857422,1740663455.457388,firefox
81,TCP,97,1.1920928955078125e-06,1740663455.457389,firefox
46,TCP,66,3.1948089599609375e-05,1740663455.457421,firefox
46,TCP,66,0.00011801719665527344,1740663455.457539,firefox
46,TCP,90,0.0004818439483642578,1740663455.458021,firefox
46,TCP,66,0.0001251697540283203,1740663455.458146,firefox
81,TCP,66,0.003513813018798828,1740663455.46166,firefox
81,TCP,66,0.0,1740663455.46166,firefox
46,TCP,66,2.9087066650390625e-05,1740663455.461689,firefox
79,TCP,232,0.05507802963256836,1740663455.516767,firefox
79,TCP,556,0.0,1740663455.516767,firefox
44,TCP,66,0.00023293495178222656,1740663455.517,firefox
79,TCP,105,0.0005500316619873047,1740663455.51755,firefox
44,TCP,105,5.507469177246094e-05,1740663455.517605,firefox
79,TCP,66,0.002537965774536133,1740663455.520143,firefox
43,TCP,215,0.0264890193939209,1740663455.546632,firefox
43,TCP,1389,0.0013859272003173828,1740663455.548018,firefox
78,TCP,66,0.0018849372863769531,1740663455.549903,firefox
78,TCP,66,0.00109100341796875,1740663455.550994,firefox
44,TCP,241,0.03071904182434082,1740663455.581713,firefox
