Length,Time_Diff,FlowID,Protocol_UDP,Actual_App,Predicted_With_FlowID,Predicted_Without_FlowID
341,0.0058629512786865,16,True,zoom,zoom,zoom
1147,0.0,6,True,zoom,zoom,zoom
132,0.0003609657287597,28,False,spotify,spotify,spotify
144,0.0023660659790039,7,True,zoom,zoom,zoom
98,2.193450927734375e-05,35,False,youtube,youtube,spotify
298,0.0002689361572265,7,True,zoom,zoom,zoom
86,0.0,28,False,spotify,spotify,youtube
1295,0.0079398155212402,6,True,zoom,zoom,zoom
531,0.5470590591430664,28,False,spotify,spotify,spotify
4266,0.0019209384918212,79,False,firefox,firefox,google
86,4.291534423828125e-05,35,False,youtube,youtube,spotify
1294,0.0,35,False,youtube,youtube,google
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
117,0.0003349781036376,42,False,google,google,google
124,0.0019659996032714,35,False,youtube,youtube,youtube
1294,0.0,42,False,google,google,google
86,0.009286880493164,28,False,spotify,spotify,zoom
1294,0.0,35,False,youtube,youtube,google
1078,0.0,7,True,zoom,zoom,zoom
1227,0.0,6,True,zoom,zoom,zoom
151,0.0001189708709716,15,True,zoom,zoom,zoom
1466,0.0,79,False,firefox,firefox,firefox
116,0.0001990795135498,10,False,zoom,zoom,zoom
1156,0.0029101371765136,6,True,zoom,zoom,zoom
795,0.0587539672851562,42,False,google,google,youtube
86,0.0001099109649658,35,False,youtube,youtube,youtube
86,0.0001049041748046,28,False,spotify,spotify,google
1294,0.0,35,False,youtube,youtube,google
1078,0.0,7,True,zoom,zoom,zoom
1078,0.0002079010009765,7,True,zoom,zoom,zoom
377,0.0009710788726806,35,False,youtube,youtube,youtube
98,0.0036449432373046,42,False,google,google,firefox
224,0.0,35,False,youtube,youtube,zoom
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
1209,0.0011179447174072,6,True,zoom,zoom,zoom
1176,0.0026898384094238,6,True,zoom,zoom,zoom
86,2.5033950805664062e-05,35,False,youtube,youtube,youtube
1240,0.0009889602661132,6,True,zoom,zoom,zoom
305,0.0038690567016601,16,True,zoom,zoom,zoom
86,3.218650817871094e-05,35,False,youtube,youtube,zoom
1230,0.011305809020996,28,False,spotify,spotify,zoom
86,0.0056409835815429,28,False,spotify,spotify,spotify
1078,0.0,7,True,zoom,zoom,zoom
1334,0.0,6,True,zoom,zoom,zoom
7060,0.0,79,False,firefox,firefox,firefox
1272,0.0005648136138916,6,True,zoom,zoom,zoom
66,3.1948089599609375e-05,46,False,firefox,firefox,firefox
86,0.0047328472137451,21,False,zoom,zoom,youtube
156,0.0011780261993408,16,True,zoom,zoom,youtube
74,0.0015809535980224,81,False,firefox,firefox,firefox
353,0.0015978813171386,16,True,zoom,zoom,zoom
86,2.384185791015625e-05,21,False,zoom,zoom,youtube
132,0.0,28,False,spotify,spotify,youtube
316,0.0035161972045898,16,True,zoom,zoom,zoom
352,0.1826131343841552,44,False,firefox,firefox,firefox
1078,0.0,7,True,zoom,zoom,zoom
86,0.0002319812774658,35,False,youtube,youtube,youtube
132,0.0002040863037109,28,False,spotify,spotify,youtube
87,0.0002191066741943,31,True,firefox,firefox,google
1924,0.0001659393310546,28,False,spotify,spotify,youtube
1078,0.0,7,True,zoom,zoom,zoom
1294,0.0,35,False,youtube,youtube,google
86,2.694129943847656e-05,42,False,google,google,youtube
167,0.0070409774780273,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,2.312660217285156e-05,35,False,youtube,youtube,youtube
18130,1.0967254638671877e-05,35,False,youtube,youtube,firefox
158,0.0056180953979492,16,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,0.0,42,False,google,google,youtube
1176,0.0,6,True,zoom,zoom,zoom
1474,0.0,35,False,youtube,youtube,youtube
196,0.0027799606323242,15,True,zoom,zoom,zoom
1136,0.0005660057067871,35,False,youtube,youtube,zoom
145,0.0023939609527587,7,True,zoom,zoom,zoom
140,0.0,7,True,zoom,zoom,google
321,0.0072450637817382,7,True,zoom,zoom,zoom
1078,0.0005979537963867,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
139,9.5367431640625e-07,42,False,google,google,zoom
86,7.796287536621094e-05,35,False,youtube,youtube,google
86,0.0016469955444335,35,False,youtube,youtube,zoom
278,0.0028400421142578,16,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1256,0.0003139972686767,6,True,zoom,zoom,zoom
1078,0.0005960464477539,7,True,zoom,zoom,zoom
66,8.702278137207031e-05,8,False,firefox,firefox,firefox
7066,0.0001821517944335,79,False,firefox,firefox,youtube
1247,0.0028910636901855,6,True,zoom,zoom,zoom
145,0.0139780044555664,7,True,zoom,zoom,zoom
123,0.000169038772583,14,True,zoom,zoom,zoom
132,0.0,28,False,spotify,spotify,youtube
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
148,0.0056991577148437,7,True,zoom,zoom,zoom
1078,0.0061211585998535,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1267,0.0,6,True,zoom,zoom,zoom
1241,0.0052700042724609,6,True,zoom,zoom,zoom
315,0.0098171234130859,7,True,zoom,zoom,zoom
1085,0.0050210952758789,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
172,0.0025300979614257,16,True,zoom,zoom,youtube
86,4.00543212890625e-05,42,False,google,google,zoom
296,0.0031960010528564,7,True,zoom,zoom,zoom
86,0.0038020610809326,42,False,google,google,youtube
204,0.0005619525909423,15,True,zoom,zoom,zoom
86,3.0040740966796875e-05,35,False,youtube,youtube,spotify
86,0.0021140575408935,42,False,google,google,google
1176,0.0,6,True,zoom,zoom,zoom
2862,0.0,35,False,youtube,youtube,youtube
147,0.0088560581207275,16,True,zoom,zoom,zoom
1078,0.0139191150665283,7,True,zoom,zoom,zoom
123,0.000582218170166,14,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
312,0.0019640922546386,7,True,zoom,zoom,zoom
341,0.001979112625122,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1218,1.1920928955078125e-06,6,True,zoom,zoom,zoom
1202,9.5367431640625e-07,6,True,zoom,zoom,zoom
1670,0.0001358985900878,3,False,firefox,youtube,youtube
485,0.000256061553955,10,False,firefox,zoom,spotify
1078,0.0011570453643798,7,True,zoom,zoom,zoom
66,0.4476449489593506,48,False,firefox,firefox,spotify
130,0.0039029121398925,6,True,zoom,zoom,firefox
12340,0.0033330917358398,35,False,youtube,youtube,spotify
86,0.0027849674224853,42,False,google,google,youtube
1078,0.0,7,True,zoom,zoom,zoom
259,0.0065069198608398,16,True,zoom,zoom,zoom
13580,0.0,35,False,youtube,youtube,youtube
66,0.0001029968261718,8,False,firefox,firefox,firefox
86,0.0,35,False,youtube,youtube,youtube
1466,0.0,1,False,firefox,firefox,firefox
18266,0.0001568794250488,79,False,firefox,firefox,firefox
106,0.0,27,False,spotify,spotify,zoom
1078,0.0,7,True,zoom,zoom,zoom
1244,0.0096678733825683,6,True,zoom,zoom,zoom
86,2.408027648925781e-05,28,False,spotify,spotify,youtube
1146,0.0,6,True,zoom,zoom,zoom
1304,1.1920928955078125e-06,6,True,zoom,zoom,zoom
86,0.0044639110565185,42,False,google,google,google
1078,1.9073486328125e-06,7,True,zoom,zoom,zoom
287,0.0,7,True,zoom,zoom,zoom
86,2.5987625122070312e-05,28,False,spotify,spotify,spotify
1190,0.0013689994812011,6,True,zoom,zoom,zoom
66,0.0039479732513427,1,False,zoom,zoom,firefox
1274,0.0021800994873046,6,True,zoom,zoom,zoom
152,0.0057771205902099,7,True,zoom,zoom,zoom
1117,9.5367431640625e-07,6,True,zoom,zoom,zoom
1078,0.0104069709777832,7,True,zoom,zoom,zoom
1178,0.000169038772583,6,True,zoom,zoom,zoom
1466,0.0,79,False,firefox,firefox,firefox
1146,0.0024371147155761,6,True,zoom,zoom,zoom
66,0.0116260051727294,79,False,firefox,firefox,zoom
145,0.0178980827331542,7,True,zoom,zoom,zoom
1277,0.0,6,True,zoom,zoom,zoom
86,4.1961669921875e-05,35,False,youtube,youtube,youtube
86,7.486343383789062e-05,42,False,google,google,youtube
194,0.0003070831298828,15,True,zoom,zoom,zoom
86,0.0,35,False,youtube,youtube,youtube
66,5.793571472167969e-05,8,False,firefox,firefox,firefox
66,0.0001978874206542,44,False,firefox,firefox,firefox
32988,0.0085649490356445,28,False,spotify,spotify,firefox
339,0.017298936843872,7,True,zoom,zoom,zoom
106,0.0003371238708496,5,True,youtube,zoom,zoom
66,5.197525024414063e-05,10,False,zoom,firefox,firefox
132,0.0,28,False,spotify,spotify,youtube
330,0.0190458297729492,16,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
137,0.0053720474243164,7,True,zoom,zoom,zoom
188,0.0059800148010253,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1299,9.5367431640625e-07,6,True,zoom,zoom,zoom
10351,0.0003890991210937,79,False,firefox,firefox,google
309,0.0011918544769287,7,True,zoom,zoom,zoom
1294,0.0,35,False,youtube,youtube,google
69,0.0003719329833984,13,True,zoom,zoom,zoom
1302,0.0,6,True,zoom,zoom,zoom
1294,0.001533031463623,42,False,google,google,google
1078,0.0,7,True,zoom,zoom,zoom
86,2.193450927734375e-05,42,False,google,google,youtube
66,5.602836608886719e-05,8,False,firefox,firefox,firefox
335,0.0057141780853271,7,True,zoom,zoom,zoom
175,0.0009360313415527,7,True,zoom,zoom,google
1330,0.0,6,True,zoom,zoom,zoom
1206,0.0032370090484619,6,True,zoom,zoom,zoom
340,0.0055718421936035,16,True,zoom,zoom,zoom
1294,0.0,35,False,youtube,youtube,google
66,0.0029299259185791,79,False,firefox,firefox,firefox
167,5.91278076171875e-05,79,False,firefox,firefox,youtube
86,0.0128149986267089,28,False,spotify,spotify,youtube
1078,0.0,7,True,zoom,zoom,zoom
1078,1.1920928955078125e-06,7,True,zoom,zoom,zoom
1294,0.0,42,False,google,google,google
1466,0.0,79,False,firefox,firefox,firefox
66,0.059028148651123,1,False,spotify,spotify,spotify
125,0.000849962234497,42,False,google,google,google
1202,0.0,6,True,zoom,zoom,zoom
